0003,63.75,66.875
,63.75,66.875
0017,75.45126354,78.33935018
9999,44.44444444,55.55555556
,74.47552448,77.62237762
6269,71.42857143,73.62637363
9999,0,0
,69.14893617,71.27659574
6271,75.22522523,77.92792793
9999,0,0
,74.55357143,77.23214286
0014,52.5974026,57.79220779
9999,0,0
,50.94339623,55.97484277
0021,69.4214876,74.38016529
9999,0,0
,66.66666667,71.42857143
,67.87416587,71.30600572
7727,80.14184397,82.26950355
,80.14184397,82.26950355
7846,44,44
,44,44
7562,94.11764706,97.05882353
,94.11764706,97.05882353
0409,70.38216561,70.70063694
0412,70.37037037,72.83950617
0416,67.07317073,68.29268293
6047,0,0
6664,0,0
6811,0,0
6915,81.25,85.9375
8105,0,0
8106,98.55072464,98.55072464
8107,89.39393939,89.39393939
8110,88.76404494,88.76404494
8203,52.83018868,58.49056604
8300,61.11111111,72.22222222
9999,0,0
,68.95074946,70.66381156
7772,2.173913043,2.173913043
,2.173913043,2.173913043
0029,67.6056338,73.23943662
,67.6056338,73.23943662
5199,93.75,93.75
9999,0,0
,92.59259259,92.59259259
0315,87.66404199,89.50131234
,87.66404199,89.50131234
0050,80.80229226,83.95415473
9999,0,0
,80.57142857,83.71428571
0062,84.07310705,84.07310705
,84.07310705,84.07310705
0070,88.99082569,91.74311927
9999,0,0
,86.60714286,89.28571429
0000,0,0
0079,67.81609195,70.11494253
9999,0,0
,61.45833333,63.54166667
6706,86.9047619,88.0952381
9999,0,0
,86.22047244,87.4015748
8094,71.42857143,71.42857143
9999,0,14.28571429
,61.2244898,63.26530612
8087,88.88888889,88.88888889
,88.88888889,88.88888889
0513,76.97841727,87.05035971
9999,0,50
,75.88652482,86.5248227
5193,83.87096774,86.29032258
9999,0,0
,78.78787879,81.06060606
0144,68.71794872,71.28205128
,68.71794872,71.28205128
7648,33.33333333,33.33333333
,33.33333333,33.33333333
0156,87.5739645,88.16568047
9999,28.57142857,28.57142857
,86.37681159,86.95652174
0000,0,0
0170,46.23287671,46.57534247
,45.45454545,45.79124579
5190,85.97122302,88.1294964
9999,0,0
,85.35714286,87.5
5153,59.11949686,67.9245283
,59.11949686,67.9245283
5112,79.53216374,79.53216374
,79.53216374,79.53216374
6105,63.03501946,87.15953307
,63.03501946,87.15953307
5017,85.42510121,85.82995951
9999,0,0
,85.08064516,85.48387097
4951,83.64312268,84.3866171
9999,25,25
,80.35087719,81.05263158
0254,93.95348837,94.41860465
9999,0,0
,93.0875576,93.5483871
8305,92.64705882,93.23529412
9999,36.36363636,36.36363636
,91.75108538,92.32995658
0053,87.83783784,90.54054054
9999,0,0
,86.66666667,89.33333333
7101,82.50728863,85.71428571
,82.50728863,85.71428571
0309,80.76923077,85.8974359
9999,0,0
,80.25477707,85.35031847
0435,81.96721311,84.59016393
,81.96721311,84.59016393
0448,91.39072848,91.39072848
9999,37.5,50
,88.67924528,89.3081761
6928,89.18918919,89.18918919
9999,0,100
,88,89.33333333
0460,81.2849162,84.91620112
9999,8.333333333,8.333333333
,78.91891892,82.43243243
0440,77.77777778,82.05128205
9999,0,0
,75.20661157,79.33884298
0470,86.89655172,91.03448276
9999,0,0
,84,88
0467,93.90243902,93.90243902
9999,0,0
,93.33333333,93.33333333
0196,62.12121212,62.12121212
9999,0,0
,61.65413534,61.65413534
0477,68.6746988,68.6746988
9999,0,0
,64.77272727,64.77272727
0492,93.89534884,93.89534884
,93.89534884,93.89534884
0509,83.7962963,84.72222222
,83.7962963,84.72222222
0523,82.4120603,84.92462312
9999,0,0
,81.5920398,84.07960199
0536,75.86206897,78.87931034
9999,0,0
,75.21367521,78.20512821
0555,12.12121212,21.21212121
9999,0,0
,10.52631579,18.42105263
0107,82.75862069,85.77586207
9999,0,0
,80,82.91666667
7821,78.37837838,78.37837838
,78.37837838,78.37837838
8129,0,0
,0,0
,78.20892758,80.64456381
2320,49.38271605,56.79012346
9999,0,0
,48.7804878,56.09756098
0596,0,0
6575,71.91011236,73.03370787
7640,79.22077922,83.11688312
9999,0,0
,39.8089172,41.08280255
0594,88.23529412,88.23529412
,88.23529412,88.23529412
7923,76.74418605,76.74418605
,76.74418605,76.74418605
4807,29.08163265,39.28571429
,29.08163265,39.28571429
,48.6381323,52.52918288
7847,68.42105263,73.68421053
,68.42105263,73.68421053
7859,82.30769231,88.46153846
,82.30769231,88.46153846
8086,43.5483871,43.5483871
9999,0,0
,41.53846154,41.53846154
6555,65.05376344,65.05376344
,65.05376344,65.05376344
0640,77.62237762,79.02097902
,77.62237762,79.02097902
0649,53.125,54.16666667
,53.125,54.16666667
6707,87.11656442,88.34355828
9999,12.5,25
,83.62573099,85.38011696
8044,68.04733728,73.96449704
9999,0,0
,67.64705882,73.52941176
6563,73.63636364,75.45454545
9999,0,0
,71.05263158,72.80701754
7650,59.61960497,62.83833211
,59.61960497,62.83833211
0675,70.28571429,70.28571429
9999,0,0
,69.1011236,69.1011236
0695,75.2293578,77.06422018
9999,28.57142857,71.42857143
,72.4137931,76.72413793
0700,65,74.16666667
9999,25,25
,63.70967742,72.58064516
8000,71.18644068,71.18644068
9999,0,0
,67.74193548,67.74193548
0714,87.5,87.5
,87.5,87.5
0719,65.11627907,74.41860465
9999,0,0
,63.63636364,72.72727273
,65.57911909,68.54812398
0726,46.47887324,49.29577465
9999,0,0
,45.83333333,48.61111111
0732,59.01639344,60.6557377
9999,0,0
,58.53658537,60.16260163
7897,50,54.16666667
9999,0,0
,48.97959184,53.06122449
0747,57.14285714,66.66666667
,57.14285714,66.66666667
8154,36.84210526,42.10526316
